Designator,Mid X,Mid Y,Rotation,Layer
C1,134.5,-69.0,270.0,top
C2,109.0,-61.0,0.0,top
C3,109.0,-70.0,0.0,top
H1,80.0,-60.0,0.0,top
H2,140.0,-60.0,0.0,top
H3,80.0,-105.0,0.0,top
H4,140.0,-105.0,0.0,top
J1,92.95,-64.6825,180.0,top
J2,120.25,-62.0,180.0,top
J3,131.25,-62.0,180.0,top
Q1,115.0,-70.0625,90.0,top
Q2,121.0,-70.0,90.0,top
R1,115.0,-66.5625,0.0,top
R2,121.0,-66.5625,0.0,top
R3,118.0,-70.0625,270.0,top
R4,124.0,-70.0,270.0,top
R5,138.0,-68.0,90.0,top
TP1,112.0,-61.0,0.0,bottom
TP2,112.0,-64.0,0.0,bottom
U1,110.2525,-88.0,0.0,top
U2,129.0,-69.0,270.0,top
U3,109.0,-65.5,90.0,top
